Ticker,Name,Sector,Industry,Price,MarketCap,ROE,DER,DivYield,PE_Ratio,PBV,Beta,Past24H
MBSS.JK,Mitrabahtera Segara Sejati,Industrials,Marine Shipping,2480.0,4340066025472,0.06601,5.443,0.0,17.143646,1.0985963,0.642,15.89
RIGS.JK,Rig Tenders Indonesia,Industrials,Marine Shipping,685.0,417254047744,0.06875,0.572,0.0,4.8287044,9383.562,0.917,-0.72
WEHA.JK,Weha Transportasi Indonesia,Industrials,Railroads,119.0,173806026752,0.09508,44.477,5.17,7.350216,0.6692387,-0.025,2.59
TAXI.JK,Express Transindo Utama,Industrials,Railroads,15.0,153354698752,-0.40521,0.0,0.0,0.0,2.9411764,0.0,7.14
SAFE.JK,Steady Safe,Industrials,Railroads,328.0,269356056576,1.5161301,18.42,0.0,5.9302115,4.2377806,0.694,1.23
IPCM.JK,Jasa Armada Indonesia,Industrials,Marine Shipping,326.0,1722848509952,0.1468,4.075,7.6,8.700294,1.225905,-0.097,1.88
CMPP.JK,Air Asia Indonesia,Industrials,Airlines,65.0,694533095424,0.0,0.0,0.0,0.0,-0.047687978,-0.003,-8.45
ABDA.JK,Asuransi Bina Dana Arta,Financial Services,Insurance - Property & Casualty,3220.0,1998997422080,0.05856,0.0,0.0,19.032984,1.1230767,-0.116,-3.88
ASDM.JK,Asuransi Dayin Mitra,Financial Services,Insurance - Diversified,505.0,193920008192,0.06404,0.0,9.9,10.74011,0.47350082,0.135,0.0
ASRM.JK,Asuransi Ramayana,Financial Services,Insurance - Property & Casualty,276.0,352725794816,0.02537,18.042,0.0,18.486269,0.45603025,0.124,1.47
MREI.JK,Maskapai Reasuransi Indonesia,Financial Services,Insurance - Reinsurance,985.0,510024810496,0.05815,0.0,1.54,5.532465,0.3117353,-0.065,1.03
PNIN.JK,Panin Insurance,Financial Services,Insurance - Life,780.0,3173292703744,0.054330003,0.0,0.0,2.6373627,0.14188485,-0.235,1.96
LPGI.JK,Lippo General Insurance,Financial Services,Insurance - Diversified,695.0,2085000052736,0.15008001,0.0,1.44,14.473136,2.0280957,0.125,0.0
AHAP.JK,Asuransi Harta Aman Pratama,Financial Services,Insurance - Property & Casualty,88.0,431199977472,-0.11188,19.645,0.0,0.0,2.5036275,0.368,1.15
